seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
1,1,1,2500,2146,0.8584,0.6852,311.983,30178.428,146.658,3453.031,0.3948,0.01584,76.4568,1096.5360,0.76247,0.017669,8.5393,21.6306
2,1,1,2500,1152,0.4608,0.5665,123.891,3101.919,76.205,1054.242,0.1733,0.01550,49.9684,723.2534,0.87995,0.015329,6.0855,17.6648
3,1,1,2500,2157,0.8628,0.5663,378.973,57896.027,146.587,6547.462,0.3469,0.04007,64.8324,1688.0255,0.77051,0.025520,8.5043,24.3266
4,1,1,2500,1884,0.7536,0.7886,134.365,3313.507,83.221,1003.217,0.3108,0.01878,57.2775,1096.0424,0.78826,0.022346,5.3718,8.5776
5,1,1,2500,1819,0.7276,0.6811,242.769,15857.448,146.891,3196.945,0.4356,0.02424,96.6789,1537.9572,0.69973,0.017821,7.4549,16.6740
6,1,1,2500,1970,0.7880,0.6855,194.143,10819.315,123.006,2509.502,0.4198,0.01589,83.5643,1300.7510,0.72064,0.017378,6.5411,14.0822
7,1,1,2500,1925,0.7700,0.5322,148.445,4538.853,94.283,1692.204,0.3072,0.01439,65.7665,1582.6644,0.78746,0.017734,5.8966,15.1906
8,1,1,2500,1611,0.6444,0.5442,215.960,9107.780,102.756,2022.067,0.2080,0.02532,52.9553,801.6018,0.85865,0.021981,7.9901,25.0574
9,1,1,2500,2118,0.8472,0.6316,233.579,15252.579,101.777,1611.718,0.2891,0.02275,52.1454,928.0196,0.83098,0.019751,6.7229,13.8943
10,1,1,2500,2156,0.8624,0.7744,307.708,41478.246,137.236,4754.889,0.3648,0.02929,68.0202,1405.8621,0.76299,0.023613,7.7159,19.9590
11,1,1,2500,2254,0.9016,0.6479,378.888,22537.053,133.303,1757.859,0.3047,0.02780,52.3603,850.1493,0.84799,0.015876,8.4158,16.3666
12,1,1,2500,2268,0.9072,0.4348,548.605,58137.277,154.552,2321.021,0.2858,0.02950,53.1841,1053.1185,0.84852,0.021087,10.7291,31.0516
