metric,bin_lo,bin_hi,count
isovist_area_m2,1.0000,123.1000,87390
isovist_area_m2,123.1000,245.2000,120591
isovist_area_m2,245.2000,367.3000,79007
isovist_area_m2,367.3000,489.4000,46493
isovist_area_m2,489.4000,611.5000,24122
isovist_area_m2,611.5000,733.6000,12751
isovist_area_m2,733.6000,855.7000,7365
isovist_area_m2,855.7000,977.8000,3442
isovist_area_m2,977.8000,1099.9000,1765
isovist_area_m2,1099.9000,1222.0000,612
isovist_area_m2,1222.0000,1344.1000,844
isovist_area_m2,1344.1000,1466.2000,900
isovist_area_m2,1466.2000,1588.2999,76
isovist_area_m2,1588.2999,1710.4000,1544
isovist_area_m2,1710.4000,1832.5000,4
isovist_area_m2,1832.5000,1954.6000,18
isovist_area_m2,1954.6000,2076.7000,42
isovist_area_m2,2076.7000,2198.8000,62
isovist_area_m2,2198.8000,2320.8999,188
isovist_area_m2,2320.8999,2443.0000,2174
perimeter_m,4.0000,32.0000,7844
perimeter_m,32.0000,60.0000,44273
perimeter_m,60.0000,88.0000,64559
perimeter_m,88.0000,116.0000,76690
perimeter_m,116.0000,144.0000,66654
perimeter_m,144.0000,172.0000,49029
perimeter_m,172.0000,200.0000,33749
perimeter_m,200.0000,228.0000,19693
perimeter_m,228.0000,256.0000,12241
perimeter_m,256.0000,284.0000,5978
perimeter_m,284.0000,312.0000,2916
perimeter_m,312.0000,340.0000,2248
perimeter_m,340.0000,368.0000,1202
perimeter_m,368.0000,396.0000,743
perimeter_m,396.0000,424.0000,479
perimeter_m,424.0000,452.0000,498
perimeter_m,452.0000,480.0000,383
perimeter_m,480.0000,508.0000,160
perimeter_m,508.0000,536.0000,44
perimeter_m,536.0000,564.0000,7
occlusivity,0.0000,0.0417,18262
occlusivity,0.0417,0.0833,15574
occlusivity,0.0833,0.1250,18572
occlusivity,0.1250,0.1667,18173
occlusivity,0.1667,0.2083,22189
occlusivity,0.2083,0.2500,23208
occlusivity,0.2500,0.2917,31423
occlusivity,0.2917,0.3333,32420
occlusivity,0.3333,0.3750,36895
occlusivity,0.3750,0.4167,38839
occlusivity,0.4167,0.4583,36963
occlusivity,0.4583,0.5000,31103
occlusivity,0.5000,0.5417,29319
occlusivity,0.5417,0.5833,18287
occlusivity,0.5833,0.6250,10738
occlusivity,0.6250,0.6667,5139
occlusivity,0.6667,0.7083,1839
occlusivity,0.7083,0.7500,382
occlusivity,0.7500,0.7917,60
occlusivity,0.7917,0.8333,5
jaggedness,16.0000,39.0039,110276
jaggedness,39.0039,62.0078,107447
jaggedness,62.0078,85.0116,77620
jaggedness,85.0116,108.0155,44617
jaggedness,108.0155,131.0194,27539
jaggedness,131.0194,154.0233,11216
jaggedness,154.0233,177.0272,5153
jaggedness,177.0272,200.0310,2798
jaggedness,200.0310,223.0349,1724
jaggedness,223.0349,246.0388,571
jaggedness,246.0388,269.0427,259
jaggedness,269.0427,292.0466,97
jaggedness,292.0466,315.0504,44
jaggedness,315.0504,338.0543,14
jaggedness,338.0543,361.0582,9
jaggedness,361.0582,384.0621,2
jaggedness,384.0621,407.0659,2
jaggedness,407.0659,430.0698,1
jaggedness,430.0698,453.0737,0
jaggedness,453.0737,476.0776,1
clustering,0.0000,0.0500,14
clustering,0.0500,0.1000,0
clustering,0.1000,0.1500,0
clustering,0.1500,0.2000,0
clustering,0.2000,0.2500,0
clustering,0.2500,0.3000,4
clustering,0.3000,0.3500,88
clustering,0.3500,0.4000,559
clustering,0.4000,0.4500,2370
clustering,0.4500,0.5000,6998
clustering,0.5000,0.5500,14471
clustering,0.5500,0.6000,23823
clustering,0.6000,0.6500,28617
clustering,0.6500,0.7000,34274
clustering,0.7000,0.7500,36730
clustering,0.7500,0.8000,40418
clustering,0.8000,0.8500,42644
clustering,0.8500,0.9000,42690
clustering,0.9000,0.9500,41512
clustering,0.9500,1.0000,74178
drift_m,0.0000,1.7065,20513
drift_m,1.7065,3.4130,50139
drift_m,3.4130,5.1196,64219
drift_m,5.1196,6.8261,63237
drift_m,6.8261,8.5326,54871
drift_m,8.5326,10.2391,43036
drift_m,10.2391,11.9456,31023
drift_m,11.9456,13.6522,21696
drift_m,13.6522,15.3587,14810
drift_m,15.3587,17.0652,9865
drift_m,17.0652,18.7717,6245
drift_m,18.7717,20.4782,3890
drift_m,20.4782,22.1847,2432
drift_m,22.1847,23.8913,1787
drift_m,23.8913,25.5978,986
drift_m,25.5978,27.3043,320
drift_m,27.3043,29.0108,154
drift_m,29.0108,30.7173,97
drift_m,30.7173,32.4239,48
drift_m,32.4239,34.1304,22
