seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
1,1,1,2500,2121,0.8484,0.6817,261.318,16538.672,136.736,2606.515,0.3925,0.01354,77.8132,1194.9587,0.73674,0.017333,7.7662,18.6326
2,1,1,2500,1152,0.4608,0.5665,123.891,3101.919,76.205,1054.242,0.1733,0.01550,49.9684,723.2534,0.87995,0.015329,6.0855,17.6648
3,1,1,2500,2157,0.8628,0.5663,378.973,57896.027,146.587,6547.462,0.3469,0.04007,64.8324,1688.0255,0.77051,0.025520,8.5043,24.3266
4,1,1,2500,1855,0.7420,0.7831,123.564,3690.503,78.453,900.365,0.3002,0.01939,57.0210,1084.9384,0.78884,0.023467,5.1550,8.9611
5,1,1,2500,1822,0.7288,0.6827,201.763,9339.356,140.595,3118.902,0.4426,0.02428,104.4938,2096.1746,0.67402,0.019785,6.8248,15.4910
6,1,1,2500,1944,0.7776,0.6805,170.166,10457.997,109.529,2326.442,0.3904,0.01472,75.9654,1135.2629,0.73715,0.017637,6.2945,14.9981
7,1,1,2500,1909,0.7636,0.5328,140.525,4728.696,94.546,1723.430,0.3193,0.01396,68.8485,1515.3612,0.77363,0.017518,5.8326,15.5309
8,1,1,2500,1632,0.6528,0.5438,231.748,10046.470,102.474,2058.031,0.1897,0.03542,50.5012,967.3525,0.87699,0.025415,7.9908,25.0219
9,1,1,2500,2091,0.8364,0.6341,203.156,14666.285,92.973,1349.548,0.2771,0.02075,51.1055,879.8347,0.83206,0.019355,6.3951,13.0205
10,1,1,2500,2134,0.8536,0.7713,299.186,42120.344,135.362,4987.085,0.3694,0.02928,68.1812,1319.2283,0.76864,0.022541,7.7057,19.4747
11,1,1,2500,2224,0.8896,0.6521,307.330,13981.230,127.196,1479.495,0.3252,0.02619,58.9391,1035.5651,0.80853,0.019166,7.6592,15.6524
