metric,stat,base,post,delta_abs,delta_pct
jaggedness,mean,64.132693,66.810191,2.677498,4.175
jaggedness,median,62.847550,65.629900,2.782350,4.427
jaggedness,stddev,14.317626,14.909708,0.592082,4.135
jaggedness,p10,50.043700,51.571430,1.527730,3.053
jaggedness,p90,79.592870,82.095400,2.502530,3.144
occlusivity,mean,0.329926,0.339581,0.009655,2.926
occlusivity,median,0.329250,0.339050,0.009800,2.976
occlusivity,stddev,0.066019,0.066778,0.000759,1.150
occlusivity,p10,0.248830,0.260500,0.011670,4.690
occlusivity,p90,0.414660,0.422120,0.007460,1.799
clustering,mean,0.795193,0.783281,-0.011912,-1.498
clustering,median,0.796835,0.783660,-0.013175,-1.653
clustering,stddev,0.050836,0.051955,0.001119,2.201
clustering,p10,0.727337,0.714731,-0.012606,-1.733
clustering,p90,0.857483,0.847728,-0.009755,-1.138
drift,mean,7.488063,7.225090,-0.262973,-3.512
drift,median,7.290500,6.840200,-0.450300,-6.177
drift,stddev,1.590603,1.613661,0.023058,1.450
drift,p10,5.925310,5.815690,-0.109620,-1.850
drift,p90,8.971920,8.864620,-0.107300,-1.196
isovist_area,mean,289.359820,266.887140,-22.472680,-7.766
isovist_area,median,249.435500,227.036000,-22.399500,-8.980
isovist_area,stddev,201.624627,199.393618,-2.231009,-1.107
isovist_area,p10,157.860700,145.072600,-12.788100,-8.101
isovist_area,p90,427.923800,406.026200,-21.897600,-5.117
tile_entropy,mean,0.637380,0.638646,0.001266,0.199
tile_entropy,median,0.663900,0.664200,0.000300,0.045
tile_entropy,stddev,0.109902,0.109562,-0.000340,-0.309
tile_entropy,p10,0.476900,0.487550,0.010650,2.233
tile_entropy,p90,0.748730,0.754620,0.005890,0.787
