metric,bin_lo,bin_hi,count
isovist_area_m2,1.0000,123.1000,99323
isovist_area_m2,123.1000,245.2000,126572
isovist_area_m2,245.2000,367.3000,77421
isovist_area_m2,367.3000,489.4000,37632
isovist_area_m2,489.4000,611.5000,19181
isovist_area_m2,611.5000,733.6000,9698
isovist_area_m2,733.6000,855.7000,5727
isovist_area_m2,855.7000,977.8000,3404
isovist_area_m2,977.8000,1099.9000,1819
isovist_area_m2,1099.9000,1222.0000,827
isovist_area_m2,1222.0000,1344.1000,246
isovist_area_m2,1344.1000,1466.2000,373
isovist_area_m2,1466.2000,1588.2999,76
isovist_area_m2,1588.2999,1710.4000,1544
isovist_area_m2,1710.4000,1832.5000,4
isovist_area_m2,1832.5000,1954.6000,18
isovist_area_m2,1954.6000,2076.7000,42
isovist_area_m2,2076.7000,2198.8000,62
isovist_area_m2,2198.8000,2320.8999,188
isovist_area_m2,2320.8999,2443.0000,2174
perimeter_m,4.0000,32.0000,8574
perimeter_m,32.0000,60.0000,47105
perimeter_m,60.0000,88.0000,68111
perimeter_m,88.0000,116.0000,75092
perimeter_m,116.0000,144.0000,63795
perimeter_m,144.0000,172.0000,47414
perimeter_m,172.0000,200.0000,32044
perimeter_m,200.0000,228.0000,18173
perimeter_m,228.0000,256.0000,10680
perimeter_m,256.0000,284.0000,5619
perimeter_m,284.0000,312.0000,2960
perimeter_m,312.0000,340.0000,2523
perimeter_m,340.0000,368.0000,1646
perimeter_m,368.0000,396.0000,956
perimeter_m,396.0000,424.0000,544
perimeter_m,424.0000,452.0000,501
perimeter_m,452.0000,480.0000,383
perimeter_m,480.0000,508.0000,160
perimeter_m,508.0000,536.0000,44
perimeter_m,536.0000,564.0000,7
occlusivity,0.0000,0.0410,15498
occlusivity,0.0410,0.0820,13243
occlusivity,0.0820,0.1230,16071
occlusivity,0.1230,0.1640,16988
occlusivity,0.1640,0.2050,20043
occlusivity,0.2050,0.2460,23047
occlusivity,0.2460,0.2870,28527
occlusivity,0.2870,0.3280,33451
occlusivity,0.3280,0.3690,36005
occlusivity,0.3690,0.4100,38041
occlusivity,0.4100,0.4510,36779
occlusivity,0.4510,0.4920,35133
occlusivity,0.4920,0.5330,28972
occlusivity,0.5330,0.5740,21409
occlusivity,0.5740,0.6150,13209
occlusivity,0.6150,0.6560,6424
occlusivity,0.6560,0.6970,2679
occlusivity,0.6970,0.7380,689
occlusivity,0.7380,0.7790,111
occlusivity,0.7790,0.8200,12
jaggedness,16.0000,39.0110,99315
jaggedness,39.0110,62.0219,105133
jaggedness,62.0219,85.0329,78927
jaggedness,85.0329,108.0439,47987
jaggedness,108.0439,131.0548,29521
jaggedness,131.0548,154.0658,13102
jaggedness,154.0658,177.0768,6271
jaggedness,177.0768,200.0877,3119
jaggedness,200.0877,223.0987,1822
jaggedness,223.0987,246.1096,644
jaggedness,246.1096,269.1206,281
jaggedness,269.1206,292.1316,116
jaggedness,292.1316,315.1425,49
jaggedness,315.1425,338.1535,25
jaggedness,338.1535,361.1645,12
jaggedness,361.1645,384.1754,3
jaggedness,384.1754,407.1864,2
jaggedness,407.1864,430.1974,1
jaggedness,430.1974,453.2083,0
jaggedness,453.2083,476.2193,1
clustering,0.0000,0.0500,14
clustering,0.0500,0.1000,0
clustering,0.1000,0.1500,0
clustering,0.1500,0.2000,0
clustering,0.2000,0.2500,0
clustering,0.2500,0.3000,4
clustering,0.3000,0.3500,76
clustering,0.3500,0.4000,678
clustering,0.4000,0.4500,2808
clustering,0.4500,0.5000,7881
clustering,0.5000,0.5500,15773
clustering,0.5500,0.6000,25495
clustering,0.6000,0.6500,31468
clustering,0.6500,0.7000,35317
clustering,0.7000,0.7500,39479
clustering,0.7500,0.8000,43122
clustering,0.8000,0.8500,42377
clustering,0.8500,0.9000,39505
clustering,0.9000,0.9500,38537
clustering,0.9500,1.0000,63797
drift_m,0.0000,1.7065,22436
drift_m,1.7065,3.4130,53714
drift_m,3.4130,5.1196,67554
drift_m,5.1196,6.8261,63976
drift_m,6.8261,8.5326,52948
drift_m,8.5326,10.2391,40583
drift_m,10.2391,11.9456,28646
drift_m,11.9456,13.6522,19744
drift_m,13.6522,15.3587,13308
drift_m,15.3587,17.0652,8639
drift_m,17.0652,18.7717,5553
drift_m,18.7717,20.4782,3568
drift_m,20.4782,22.1847,2375
drift_m,22.1847,23.8913,1737
drift_m,23.8913,25.5978,954
drift_m,25.5978,27.3043,299
drift_m,27.3043,29.0108,145
drift_m,29.0108,30.7173,87
drift_m,30.7173,32.4239,46
drift_m,32.4239,34.1304,19
