seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
1,1,1,2500,2139,0.8556,0.6796,314.756,28775.996,152.242,3562.641,0.4016,0.01468,81.0422,1297.8485,0.73727,0.018474,8.5023,21.9097
2,1,1,2500,1152,0.4608,0.5665,123.891,3101.919,76.205,1054.242,0.1733,0.01550,49.9684,723.2534,0.87995,0.015329,6.0855,17.6648
3,1,1,2500,2157,0.8628,0.5663,378.973,57896.027,146.587,6547.462,0.3469,0.04007,64.8324,1688.0255,0.77051,0.025520,8.5043,24.3266
4,1,1,2500,1875,0.7500,0.7852,128.853,3321.698,79.308,883.934,0.2904,0.02050,55.1744,1076.8057,0.80221,0.023200,5.2560,8.6675
5,1,1,2500,1843,0.7372,0.6838,234.220,13208.854,141.024,2784.059,0.4288,0.02124,91.9970,1411.7087,0.69947,0.018371,7.0950,15.2693
6,1,1,2500,1954,0.7816,0.6812,176.189,10307.331,112.255,2339.115,0.3931,0.01550,76.7861,1136.6407,0.73382,0.017244,6.2629,14.7501
7,1,1,2500,1925,0.7700,0.5322,148.389,4540.246,94.122,1683.431,0.3064,0.01435,65.5117,1562.8627,0.78794,0.017618,5.8761,15.2887
8,1,1,2500,1633,0.6532,0.5437,234.764,10182.634,100.427,1894.315,0.1792,0.03073,47.4333,788.0427,0.88203,0.023933,8.0336,25.2167
9,1,1,2500,2117,0.8468,0.6315,233.508,15292.640,101.861,1605.073,0.2909,0.02230,52.2760,923.5001,0.83010,0.019634,6.7237,13.8972
10,1,1,2500,2155,0.8620,0.7741,307.843,41442.508,137.232,4746.277,0.3654,0.02988,67.9848,1406.9647,0.76323,0.023826,7.6981,19.7684
11,1,1,2500,2245,0.8980,0.6498,338.672,12552.663,129.995,1572.793,0.3139,0.02736,54.6585,856.5886,0.82501,0.017610,7.9758,15.3570
12,1,1,2500,2268,0.9072,0.4348,548.605,58137.277,154.552,2321.021,0.2858,0.02950,53.1841,1053.1185,0.84852,0.021087,10.7291,31.0516
