metric,stat,base,post,delta_abs,delta_pct
jaggedness,mean,64.132693,63.068687,-1.064006,-1.659
jaggedness,median,62.847550,61.541400,-1.306150,-2.078
jaggedness,stddev,14.317626,14.662013,0.344387,2.405
jaggedness,p10,50.043700,48.958360,-1.085340,-2.169
jaggedness,p90,79.592870,77.777630,-1.815240,-2.281
occlusivity,mean,0.329926,0.324733,-0.005193,-1.574
occlusivity,median,0.329250,0.322000,-0.007250,-2.202
occlusivity,stddev,0.066019,0.067885,0.001866,2.826
occlusivity,p10,0.248830,0.242550,-0.006280,-2.524
occlusivity,p90,0.414660,0.407600,-0.007060,-1.703
clustering,mean,0.795193,0.799387,0.004194,0.527
clustering,median,0.796835,0.799955,0.003120,0.392
clustering,stddev,0.050836,0.051676,0.000840,1.652
clustering,p10,0.727337,0.733786,0.006449,0.887
clustering,p90,0.857483,0.865568,0.008085,0.943
drift,mean,7.488063,7.476642,-0.011421,-0.153
drift,median,7.290500,7.189250,-0.101250,-1.389
drift,stddev,1.590603,1.623518,0.032915,2.069
drift,p10,5.925310,5.874500,-0.050810,-0.858
drift,p90,8.971920,9.001090,0.029170,0.325
isovist_area,mean,289.359820,290.372410,1.012590,0.350
isovist_area,median,249.435500,248.234500,-1.201000,-0.481
isovist_area,stddev,201.624627,203.572224,1.947597,0.966
isovist_area,p10,157.860700,159.176700,1.316000,0.834
isovist_area,p90,427.923800,428.753300,0.829500,0.194
tile_entropy,mean,0.637380,0.638316,0.000936,0.147
tile_entropy,median,0.663900,0.663950,0.000050,0.008
tile_entropy,stddev,0.109902,0.110582,0.000680,0.619
tile_entropy,p10,0.476900,0.485650,0.008750,1.835
tile_entropy,p90,0.748730,0.755030,0.006300,0.841
