metric,bin_lo,bin_hi,count
isovist_area_m2,1.0000,123.1000,87308
isovist_area_m2,123.1000,245.2000,119829
isovist_area_m2,245.2000,367.3000,81260
isovist_area_m2,367.3000,489.4000,45105
isovist_area_m2,489.4000,611.5000,23695
isovist_area_m2,611.5000,733.6000,12046
isovist_area_m2,733.6000,855.7000,7208
isovist_area_m2,855.7000,977.8000,4466
isovist_area_m2,977.8000,1099.9000,2000
isovist_area_m2,1099.9000,1222.0000,720
isovist_area_m2,1222.0000,1344.1000,855
isovist_area_m2,1344.1000,1466.2000,909
isovist_area_m2,1466.2000,1588.2999,76
isovist_area_m2,1588.2999,1710.4000,1544
isovist_area_m2,1710.4000,1832.5000,4
isovist_area_m2,1832.5000,1954.6000,18
isovist_area_m2,1954.6000,2076.7000,42
isovist_area_m2,2076.7000,2198.8000,62
isovist_area_m2,2198.8000,2320.8999,188
isovist_area_m2,2320.8999,2443.0000,2174
perimeter_m,4.0000,32.0000,7837
perimeter_m,32.0000,60.0000,45112
perimeter_m,60.0000,88.0000,67118
perimeter_m,88.0000,116.0000,77067
perimeter_m,116.0000,144.0000,65885
perimeter_m,144.0000,172.0000,48789
perimeter_m,172.0000,200.0000,32503
perimeter_m,200.0000,228.0000,18904
perimeter_m,228.0000,256.0000,11257
perimeter_m,256.0000,284.0000,5812
perimeter_m,284.0000,312.0000,2901
perimeter_m,312.0000,340.0000,2332
perimeter_m,340.0000,368.0000,1426
perimeter_m,368.0000,396.0000,843
perimeter_m,396.0000,424.0000,584
perimeter_m,424.0000,452.0000,545
perimeter_m,452.0000,480.0000,383
perimeter_m,480.0000,508.0000,160
perimeter_m,508.0000,536.0000,44
perimeter_m,536.0000,564.0000,7
occlusivity,0.0000,0.0417,18008
occlusivity,0.0417,0.0833,16130
occlusivity,0.0833,0.1250,18733
occlusivity,0.1250,0.1667,19360
occlusivity,0.1667,0.2083,23626
occlusivity,0.2083,0.2500,24509
occlusivity,0.2500,0.2917,33538
occlusivity,0.2917,0.3333,33620
occlusivity,0.3333,0.3750,36254
occlusivity,0.3750,0.4167,38198
occlusivity,0.4167,0.4583,35604
occlusivity,0.4583,0.5000,29470
occlusivity,0.5000,0.5417,27542
occlusivity,0.5417,0.5833,17442
occlusivity,0.5833,0.6250,10236
occlusivity,0.6250,0.6667,4891
occlusivity,0.6667,0.7083,1870
occlusivity,0.7083,0.7500,394
occlusivity,0.7500,0.7917,73
occlusivity,0.7917,0.8333,11
jaggedness,16.0000,39.0039,115581
jaggedness,39.0039,62.0078,108489
jaggedness,62.0078,85.0116,75752
jaggedness,85.0116,108.0155,41887
jaggedness,108.0155,131.0194,26169
jaggedness,131.0194,154.0233,11043
jaggedness,154.0233,177.0272,5168
jaggedness,177.0272,200.0310,2767
jaggedness,200.0310,223.0349,1636
jaggedness,223.0349,246.0388,577
jaggedness,246.0388,269.0427,259
jaggedness,269.0427,292.0466,105
jaggedness,292.0466,315.0504,41
jaggedness,315.0504,338.0543,18
jaggedness,338.0543,361.0582,10
jaggedness,361.0582,384.0621,3
jaggedness,384.0621,407.0659,2
jaggedness,407.0659,430.0698,1
jaggedness,430.0698,453.0737,0
jaggedness,453.0737,476.0776,1
clustering,0.0000,0.0500,12
clustering,0.0500,0.1000,0
clustering,0.1000,0.1500,0
clustering,0.1500,0.2000,0
clustering,0.2000,0.2500,0
clustering,0.2500,0.3000,2
clustering,0.3000,0.3500,67
clustering,0.3500,0.4000,567
clustering,0.4000,0.4500,2326
clustering,0.4500,0.5000,6637
clustering,0.5000,0.5500,13579
clustering,0.5500,0.6000,22732
clustering,0.6000,0.6500,28088
clustering,0.6500,0.7000,32796
clustering,0.7000,0.7500,36327
clustering,0.7500,0.8000,40775
clustering,0.8000,0.8500,42596
clustering,0.8500,0.9000,43352
clustering,0.9000,0.9500,43808
clustering,0.9500,1.0000,75845
drift_m,0.0000,1.7065,20754
drift_m,1.7065,3.4130,50498
drift_m,3.4130,5.1196,64648
drift_m,5.1196,6.8261,63108
drift_m,6.8261,8.5326,54235
drift_m,8.5326,10.2391,42933
drift_m,10.2391,11.9456,30968
drift_m,11.9456,13.6522,21788
drift_m,13.6522,15.3587,14752
drift_m,15.3587,17.0652,9684
drift_m,17.0652,18.7717,6211
drift_m,18.7717,20.4782,3893
drift_m,20.4782,22.1847,2538
drift_m,22.1847,23.8913,1837
drift_m,23.8913,25.5978,1010
drift_m,25.5978,27.3043,328
drift_m,27.3043,29.0108,156
drift_m,29.0108,30.7173,96
drift_m,30.7173,32.4239,50
drift_m,32.4239,34.1304,22
