seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
1,1,1,2500,2129,0.8516,0.6801,307.129,29256.604,153.046,3676.892,0.4057,0.01492,83.8985,1337.9774,0.73325,0.018808,8.5147,22.0479
2,1,1,2500,1151,0.4604,0.5661,122.925,3196.585,76.933,1022.738,0.1868,0.01626,51.5032,691.5186,0.87042,0.015241,6.0464,17.7815
3,1,1,2500,2141,0.8564,0.5690,375.776,59999.191,146.235,6476.760,0.3561,0.03770,66.1216,1661.3319,0.76113,0.024431,8.4875,24.6661
4,1,1,2500,1859,0.7436,0.7833,124.466,3620.010,78.483,905.015,0.2935,0.02059,56.6351,1103.1486,0.79452,0.023494,5.1528,8.9769
5,1,1,2500,1813,0.7252,0.6817,196.031,10786.444,130.613,3116.177,0.4159,0.02667,94.0897,1950.2501,0.70793,0.021600,6.4847,14.3031
6,1,1,2500,1942,0.7768,0.6800,167.937,10720.896,108.232,2402.223,0.3874,0.01570,75.2590,1162.1100,0.73823,0.017813,6.2390,15.0386
7,1,1,2500,1913,0.7652,0.5312,144.049,4720.773,94.201,1732.142,0.3165,0.01299,67.0398,1542.9478,0.77886,0.016994,5.7941,15.4727
8,1,1,2500,1633,0.6532,0.5437,234.764,10182.634,100.427,1894.315,0.1792,0.03073,47.4333,788.0427,0.88203,0.023933,8.0336,25.2167
9,1,1,2500,2087,0.8348,0.6355,200.325,12670.757,97.405,1693.506,0.2992,0.02210,55.5851,1040.0046,0.82520,0.018763,6.3293,12.8741
10,1,1,2500,2117,0.8468,0.7723,259.077,27701.527,132.470,5017.046,0.3769,0.03134,73.9454,1741.7325,0.75611,0.026436,7.1704,16.4805
11,1,1,2500,2215,0.8860,0.6532,305.421,13044.527,126.885,1558.480,0.3228,0.02868,58.8245,1050.8541,0.80478,0.019435,7.8221,16.0984
12,1,1,2500,2268,0.9072,0.4348,548.605,58137.277,154.552,2321.021,0.2858,0.02950,53.1841,1053.1185,0.84852,0.021087,10.7291,31.0516
13,1,1,2500,2061,0.8244,0.7633,175.695,11760.468,102.749,2288.807,0.3269,0.02094,66.5043,1231.9554,0.78302,0.023566,6.5373,20.4222
14,1,1,2500,2111,0.8444,0.6543,200.978,9153.117,91.653,1228.442,0.2381,0.02657,52.1655,1457.1558,0.85602,0.017222,6.5915,13.9283
15,1,1,2500,2064,0.8256,0.6123,192.017,12606.093,116.645,3529.393,0.3804,0.02873,76.7747,2130.9473,0.73825,0.026723,5.9812,12.6385
16,1,1,2500,2077,0.8308,0.4576,239.900,19628.707,124.813,2503.760,0.3845,0.02277,71.7194,911.6581,0.73642,0.018512,7.0962,15.7946
17,1,1,2500,1858,0.7432,0.4934,197.745,7710.035,113.839,1424.942,0.3842,0.01567,71.9729,999.8433,0.72901,0.019632,6.4769,12.6773
18,1,1,2500,1685,0.6740,0.4098,256.828,28584.969,138.946,4545.159,0.3764,0.02987,82.6123,1500.8636,0.76340,0.021405,7.7654,20.4263
19,1,1,2500,2097,0.8388,0.6185,391.391,55810.809,150.089,4113.482,0.3867,0.02075,66.5522,1229.2080,0.76984,0.019060,8.4777,19.7258
20,1,1,2500,2254,0.9016,0.5836,590.366,128364.680,184.885,4754.443,0.3999,0.01670,70.2422,914.9835,0.75801,0.019398,10.4736,32.1568
21,1,1,2500,2174,0.8696,0.7112,320.055,34451.398,143.105,3410.573,0.4020,0.01169,69.7347,776.1650,0.73674,0.015159,7.5701,16.8386
22,1,1,2500,2033,0.8132,0.6329,264.306,18061.410,128.119,3673.373,0.3551,0.02710,66.9308,1290.3928,0.76782,0.026282,7.1184,15.9183
23,1,1,2500,1968,0.7872,0.7554,283.822,30843.811,108.887,1901.647,0.2918,0.02218,49.9804,765.4028,0.83064,0.014637,7.7631,18.9335
24,1,1,2500,2496,0.9984,0.0048,2354.625,11016.837,346.748,1245.608,0.4201,0.00373,51.9340,172.2495,0.94727,0.000006,18.6510,51.5973
