metric,stat,base,shadow,delta_abs,delta_pct
jaggedness,mean,64.132693,65.797918,1.665225,2.597
jaggedness,median,62.847550,64.393400,1.545850,2.460
jaggedness,stddev,14.317626,14.661590,0.343964,2.402
jaggedness,p10,50.043700,50.462650,0.418950,0.837
jaggedness,p90,79.592870,82.675070,3.082200,3.872
occlusivity,mean,0.329926,0.335112,0.005186,1.572
occlusivity,median,0.329250,0.337100,0.007850,2.384
occlusivity,stddev,0.066019,0.065900,-0.000119,-0.180
occlusivity,p10,0.248830,0.251460,0.002630,1.057
occlusivity,p90,0.414660,0.415720,0.001060,0.256
clustering,mean,0.795193,0.788000,-0.007193,-0.905
clustering,median,0.796835,0.787125,-0.009710,-1.219
clustering,stddev,0.050836,0.050558,-0.000278,-0.547
clustering,p10,0.727337,0.721827,-0.005510,-0.758
clustering,p90,0.857483,0.848292,-0.009191,-1.072
drift,mean,7.488063,7.238071,-0.249992,-3.339
drift,median,7.290500,6.891200,-0.399300,-5.477
drift,stddev,1.590603,1.638692,0.048089,3.023
drift,p10,5.925310,5.668940,-0.256370,-4.327
drift,p90,8.971920,8.934320,-0.037600,-0.419
isovist_area,mean,289.359820,268.067460,-21.292360,-7.358
isovist_area,median,249.435500,227.608500,-21.827000,-8.751
isovist_area,stddev,201.624627,202.308961,0.684334,0.339
isovist_area,p10,157.860700,143.729400,-14.131300,-8.952
isovist_area,p90,427.923800,414.240600,-13.683200,-3.198
tile_entropy,mean,0.637380,0.638371,0.000991,0.155
tile_entropy,median,0.663900,0.663450,-0.000450,-0.068
tile_entropy,stddev,0.109902,0.109579,-0.000323,-0.294
tile_entropy,p10,0.476900,0.486200,0.009300,1.950
tile_entropy,p90,0.748730,0.754770,0.006040,0.807
