metric,bin_lo,bin_hi,count
isovist_area_m2,1.0000,123.1000,102619
isovist_area_m2,123.1000,245.2000,122558
isovist_area_m2,245.2000,367.3000,76326
isovist_area_m2,367.3000,489.4000,38666
isovist_area_m2,489.4000,611.5000,17545
isovist_area_m2,611.5000,733.6000,10343
isovist_area_m2,733.6000,855.7000,5986
isovist_area_m2,855.7000,977.8000,3982
isovist_area_m2,977.8000,1099.9000,1879
isovist_area_m2,1099.9000,1222.0000,992
isovist_area_m2,1222.0000,1344.1000,416
isovist_area_m2,1344.1000,1466.2000,458
isovist_area_m2,1466.2000,1588.2999,76
isovist_area_m2,1588.2999,1710.4000,1544
isovist_area_m2,1710.4000,1832.5000,4
isovist_area_m2,1832.5000,1954.6000,18
isovist_area_m2,1954.6000,2076.7000,42
isovist_area_m2,2076.7000,2198.8000,62
isovist_area_m2,2198.8000,2320.8999,188
isovist_area_m2,2320.8999,2443.0000,2174
perimeter_m,4.0000,32.0000,9092
perimeter_m,32.0000,60.0000,48412
perimeter_m,60.0000,88.0000,68881
perimeter_m,88.0000,116.0000,75698
perimeter_m,116.0000,144.0000,63135
perimeter_m,144.0000,172.0000,46320
perimeter_m,172.0000,200.0000,30726
perimeter_m,200.0000,228.0000,17736
perimeter_m,228.0000,256.0000,10540
perimeter_m,256.0000,284.0000,5485
perimeter_m,284.0000,312.0000,3291
perimeter_m,312.0000,340.0000,2564
perimeter_m,340.0000,368.0000,1418
perimeter_m,368.0000,396.0000,892
perimeter_m,396.0000,424.0000,573
perimeter_m,424.0000,452.0000,522
perimeter_m,452.0000,480.0000,382
perimeter_m,480.0000,508.0000,160
perimeter_m,508.0000,536.0000,44
perimeter_m,536.0000,564.0000,7
occlusivity,0.0000,0.0417,15797
occlusivity,0.0417,0.0833,14093
occlusivity,0.0833,0.1250,16469
occlusivity,0.1250,0.1667,17167
occlusivity,0.1667,0.2083,21605
occlusivity,0.2083,0.2500,22952
occlusivity,0.2500,0.2917,32262
occlusivity,0.2917,0.3333,34169
occlusivity,0.3333,0.3750,37922
occlusivity,0.3750,0.4167,39403
occlusivity,0.4167,0.4583,36844
occlusivity,0.4583,0.5000,30750
occlusivity,0.5000,0.5417,29539
occlusivity,0.5417,0.5833,17971
occlusivity,0.5833,0.6250,10815
occlusivity,0.6250,0.6667,5469
occlusivity,0.6667,0.7083,2089
occlusivity,0.7083,0.7500,473
occlusivity,0.7500,0.7917,77
occlusivity,0.7917,0.8333,12
jaggedness,16.0000,37.6004,94982
jaggedness,37.6004,59.2009,103688
jaggedness,59.2009,80.8013,77525
jaggedness,80.8013,102.4018,47879
jaggedness,102.4018,124.0022,31229
jaggedness,124.0022,145.6027,14899
jaggedness,145.6027,167.2031,7639
jaggedness,167.2031,188.8035,3856
jaggedness,188.8035,210.4040,2399
jaggedness,210.4040,232.0044,981
jaggedness,232.0044,253.6049,431
jaggedness,253.6049,275.2053,212
jaggedness,275.2053,296.8058,85
jaggedness,296.8058,318.4062,39
jaggedness,318.4062,340.0067,17
jaggedness,340.0067,361.6071,11
jaggedness,361.6071,383.2075,1
jaggedness,383.2075,404.8080,4
jaggedness,404.8080,426.4084,0
jaggedness,426.4084,448.0089,1
clustering,0.0000,0.0500,17
clustering,0.0500,0.1000,0
clustering,0.1000,0.1500,0
clustering,0.1500,0.2000,0
clustering,0.2000,0.2500,0
clustering,0.2500,0.3000,1
clustering,0.3000,0.3500,92
clustering,0.3500,0.4000,634
clustering,0.4000,0.4500,2689
clustering,0.4500,0.5000,7442
clustering,0.5000,0.5500,14939
clustering,0.5500,0.6000,24013
clustering,0.6000,0.6500,29499
clustering,0.6500,0.7000,34464
clustering,0.7000,0.7500,39080
clustering,0.7500,0.8000,43091
clustering,0.8000,0.8500,43539
clustering,0.8500,0.9000,41452
clustering,0.9000,0.9500,39126
clustering,0.9500,1.0000,65800
drift_m,0.0000,1.7065,22467
drift_m,1.7065,3.4130,54013
drift_m,3.4130,5.1196,67111
drift_m,5.1196,6.8261,63549
drift_m,6.8261,8.5326,52628
drift_m,8.5326,10.2391,40273
drift_m,10.2391,11.9456,28698
drift_m,11.9456,13.6522,19862
drift_m,13.6522,15.3587,13292
drift_m,15.3587,17.0652,8753
drift_m,17.0652,18.7717,5709
drift_m,18.7717,20.4782,3671
drift_m,20.4782,22.1847,2442
drift_m,22.1847,23.8913,1799
drift_m,23.8913,25.5978,995
drift_m,25.5978,27.3043,322
drift_m,27.3043,29.0108,140
drift_m,29.0108,30.7173,89
drift_m,30.7173,32.4239,46
drift_m,32.4239,34.1304,19
