renderers=16832 visible=15389 withPropertyBlock=0 instancedMaterialSlots=3 distinctKeys=67
count	visible	type|shader|material|pb|shadows
10582	10582	MeshRenderer|Universal Render Pipeline/Lit|LayerLampEmissive|pb=0|shadows=On
2716	2716	MeshRenderer|Universal Render Pipeline/Lit|URP_M_OfficePapers|pb=0|shadows=On
350	350	MeshRenderer|Universal Render Pipeline/Lit|Wg3Sign|pb=0|shadows=Off
297	297	MeshRenderer|Universal Render Pipeline/Lit|Air Vent|pb=0|shadows=On
471	210	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s3|pb=0|shadows=On
452	204	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s3|pb=0|shadows=On
444	201	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s3|pb=0|shadows=On
409	189	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s3|pb=0|shadows=On
493	183	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s2|pb=0|shadows=On
462	171	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s2|pb=0|shadows=On
462	171	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s2|pb=0|shadows=On
431	159	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s2|pb=0|shadows=On
93	93	MeshRenderer|Universal Render Pipeline/Lit|LayerLampEmissive_emissive|pb=0|shadows=On
83	83	MeshRenderer|Universal Render Pipeline/Lit|Cardboard Boxes|pb=0|shadows=On
232	76	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s6|pb=0|shadows=On
232	76	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s6|pb=0|shadows=On
232	76	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s6|pb=0|shadows=On
232	76	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s6|pb=0|shadows=On
76	76	MeshRenderer|Universal Render Pipeline/Lit|Paper Tray|pb=0|shadows=On
259	72	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s4|pb=0|shadows=On
272	71	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s4|pb=0|shadows=On
67	67	MeshRenderer|Universal Render Pipeline/Lit|Cupboard|pb=0|shadows=On
246	65	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s4|pb=0|shadows=On
273	65	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling|pb=0|shadows=On
399	63	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall|pb=0|shadows=On
212	63	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s5|pb=0|shadows=On
372	61	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte|pb=0|shadows=On
60	60	MeshRenderer|Universal Render Pipeline/Lit|Wall Clock|pb=0|shadows=On
214	59	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s4|pb=0|shadows=On
191	57	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s5|pb=0|shadows=On
193	57	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s5|pb=0|shadows=On
168	51	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s5|pb=0|shadows=On
45	45	MeshRenderer|Universal Render Pipeline/Lit|Pc And Monitor|pb=0|shadows=On
260	40	MeshRenderer|Universal Render Pipeline/Lit|Wg3_FloorOffice|pb=0|shadows=On
145	38	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s1|pb=0|shadows=On
176	37	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor|pb=0|shadows=On
37	37	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background|pb=0|shadows=On
37	37	MeshRenderer|Universal Render Pipeline/Lit|Keyboard And Mouse|pb=0|shadows=On
131	35	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s1|pb=0|shadows=On
131	35	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s1|pb=0|shadows=On
117	32	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s1|pb=0|shadows=On
27	27	MeshRenderer|Universal Render Pipeline/Lit|Desk 2|pb=0|shadows=On
27	27	MeshRenderer|Universal Render Pipeline/Lit|Desk 1|pb=0|shadows=On
25	25	MeshRenderer|Universal Render Pipeline/Lit|Office Phone|pb=0|shadows=On
24	24	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
23	23	MeshRenderer|Universal Render Pipeline/Lit|Chair 3|pb=0|shadows=On
