renderers=2833 visible=621 withPropertyBlock=0 instancedMaterialSlots=13 distinctKeys=24
count	visible	type|shader|material|pb|shadows
2448	371	MeshRenderer|Universal Render Pipeline/Lit|URP_M_OfficePapers|pb=0|shadows=On
147	114	MeshRenderer|Universal Render Pipeline/Lit|Paper Tray|pb=0|shadows=On
67	52	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background|pb=0|shadows=On
60	36	MeshRenderer|Universal Render Pipeline/Lit|Wall Clock|pb=0|shadows=On
19	16	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background_emissive|pb=0|shadows=On
15	9	MeshRenderer|Universal Render Pipeline/Lit|Glass|pb=0|shadows=On
10	5	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
11	3	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Lit|pb=0|shadows=On
11	3	MeshRenderer|TextMeshPro/Mobile/Distance Field|LiberationSans SDF Material (Instance)|pb=0|shadows=Off
3	3	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
5	3	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingAdultRealForm|pb=0|shadows=On
2	2	MeshRenderer|Universal Render Pipeline/Lit|Metal 3|pb=0|shadows=On
4	2	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Wood|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Desk 1|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
2	1	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
2	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
4	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingChildRealForm|pb=0|shadows=On
12	0	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
2	0	SkinnedMeshRenderer|Shader Graphs/Skin|MaleSurvivorSkin (Instance)|pb=0|shadows=On
6	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
2	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
lights enabled=0 withShadows=0 total=1
distinctMaterials=52
