renderers=2423 visible=284 withPropertyBlock=0 instancedMaterialSlots=23 distinctKeys=28
count	visible	type|shader|material|pb|shadows
2008	157	MeshRenderer|Universal Render Pipeline/Lit|URP_M_OfficePapers|pb=0|shadows=On
132	33	MeshRenderer|Universal Render Pipeline/Lit|Paper Tray|pb=0|shadows=On
56	28	MeshRenderer|Universal Render Pipeline/Lit|Wall Clock|pb=0|shadows=On
56	12	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background|pb=0|shadows=On
19	7	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background_emissive|pb=0|shadows=On
19	7	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Lit|pb=0|shadows=On
14	7	MeshRenderer|Universal Render Pipeline/Lit|Glass|pb=0|shadows=On
19	7	MeshRenderer|TextMeshPro/Mobile/Distance Field|LiberationSans SDF Material (Instance)|pb=0|shadows=Off
10	5	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
4	4	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingChildRealForm|pb=0|shadows=On
3	3	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Shader Graphs/Skin|MaleSurvivorSkin (Instance)|pb=0|shadows=On
12	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingAdultRealForm|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
4	2	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|TShirt_White|pb=0|shadows=On
6	1	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Boots|pb=0|shadows=On
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Pants_Woodland|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Desk 1|pb=0|shadows=On
2	0	MeshRenderer|Universal Render Pipeline/Lit|Metal 3|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|URP_M_WarehouseAssets|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Wood|pb=0|shadows=On
38	0	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
lights enabled=1 withShadows=0 total=1
distinctMaterials=74
