renderers=3682 visible=169 withPropertyBlock=0 instancedMaterialSlots=19 distinctKeys=28
count	visible	type|shader|material|pb|shadows
3096	96	MeshRenderer|Universal Render Pipeline/Lit|URP_M_OfficePapers|pb=0|shadows=On
162	12	MeshRenderer|Universal Render Pipeline/Lit|Paper Tray|pb=0|shadows=On
80	12	MeshRenderer|Universal Render Pipeline/Lit|Wall Clock|pb=0|shadows=On
67	8	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background|pb=0|shadows=On
15	7	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Lit|pb=0|shadows=On
15	7	MeshRenderer|TextMeshPro/Mobile/Distance Field|LiberationSans SDF Material (Instance)|pb=0|shadows=Off
6	5	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingChildRealForm|pb=0|shadows=On
6	4	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
25	3	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background_emissive|pb=0|shadows=On
20	3	MeshRenderer|Universal Render Pipeline/Lit|Glass|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Shader Graphs/Skin|MaleSurvivorSkin (Instance)|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
74	2	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Boots|pb=0|shadows=On
6	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingAdultRealForm|pb=0|shadows=On
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|TShirt_White|pb=0|shadows=On
1	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Pants_Woodland|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|Metal 3|pb=0|shadows=On
2	0	MeshRenderer|Universal Render Pipeline/Lit|Wood|pb=0|shadows=On
3	0	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
2	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Desk 1|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
72	0	MeshRenderer|Universal Render Pipeline/Lit|URP_M_WarehouseAssets|pb=0|shadows=On
10	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
2	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
lights enabled=0 withShadows=0 total=1
distinctMaterials=66
